영상 제목,키워드,채널 이름
"광복 76년, 한·일 경제·경쟁력 ‘추월의 시대’ / KBS 2021.08.14.",,JTBC News
"[신선한 경제] ""연말정산, 서류 안 내도 돼요"" (2021.08.16/뉴스투데이/MBC)",,한국경제TV
"연준, 테이퍼링 당긴다고? 원달러 환율 1180원대 가나? / 원·달러환율, FOMC, 테이퍼링,  / 이진우 GFM투자연구소장 / 진짜전략 / 한국경제TV",,한국경제TV
"[경제전쟁 꾼 20] 금리인상 가시화, 커지는 개미들 걱정...주식, 코인 영끌 빚투 어쩌나 (IBK연금보험 박종연, KB증권 김상훈, 하이투자증권 김상훈, 김동환)",,한국경제TV
"[글로벌K] “일본, 긴급사태 확대·연장에 추가 경제손실 13조 원 넘어” / KBS 2021.08.19.",,한국경제TV
"2021년 8월 18일 (수) 아침&매일경제 다시보기 - ""세계경찰 명분 벗어던진 바이든…미군, 실익 없으면 떠난다""외 주요기사",,한국경제TV
The Taliban economy: Can Afghanistan avert a financial collapse? | Counting the Cost,,한국경제TV
"삼성전자·SK하이닉스 급락 떨어지는 칼날 잡아라? / 삼성전자, SK하이닉스, 원달러환율 / 이승조 다인경제 대표 / 투자의 맥 / 진짜전략 / 한국경제TV",,한국경제TV
[라이브] 대한민국 대표 재테크 채널 매일경제TV,,한국경제TV
"美 연준, “테이퍼링 추진 결정했다” 韓 증시, 테이퍼 텐트럼發 외자 이탈 지속되나? / 한상춘",,한국경제TV뉴스
오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 6 / 출근전 꼭 봐야하는 글로벌 이슈,,한국경제TV뉴스
'30년 경제 전쟁'...'넘사벽'日에 가시적 성과 '뚜렷' / YTN,,한국경제TV
외국인 삼성전자 던지고 2차전지주 산다고? CNT도전재 주목 / 2차전지 / 나노신소재 / 이권희 메리츠종금증권 / 한국경제TV,,한국경제TV
오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 6 / 출근전 꼭 봐야하는 글로벌 이슈,,MBCNEWS
"테슬라와 삼성전자, ’데드 머니‘ 우려 설리번 패러다임, 패닉 빠진 韓 증시 구해낼까? / 한상춘",,MBCNEWS
끊임없는 도전! 광융합 전문 기업 지오씨 박인철 대표 / 혁신성장코리아 / 한국경제TV,,MBCNEWS
[Weekly 인문학] 대한민국은 어떻게 경제 대국이 될 수 있었을까?!,,MBCNEWS
"[경제 톡톡톡]늘어나는 빚투에…신용대출, 연봉 이상 못 받는다 | 뉴스A 라이브",,MBCNEWS
[MTN 머니투데이방송] ESG 경제포럼 생중계,,MBCNEWS
"반도체의 위기설 삼전 흔드는 외국인, 과감한 매수는 아직까지 NO!(이진우)/  삼성전자 / 주식경제 이슈분석 / 한국경제TV",,한국경제TV
테이퍼링 조정은 미국 증시 살 기회인가? 9월 하락 후 산타랠리 준비하자 / 잭슨홀미팅 / 테이퍼링 / 유동원 유안타 상무 / 한국경제TV,,한국경제TV
디지털 시대의 기반이 되다! 인공지능(AI)·5세대 이동 통신(5G) 융합의 확산 '데이터 댐'ㅣ [뉴:텔러] 한국지능정보사회진흥원 문용식 원장,,대한민국 정부
이것도 건강보험 적용이 된다고?,,대한민국 정부
"정부, '위드 코로나' 공식화…""9월 말~10월 초 검토"" / JTBC 뉴스룸",,대한민국 정부
"[단독] 미얀마 쿠데타 200일…민주정부, 한국 특사 임명 / SBS",,대한민국 정부
"정부 ""방역수칙 위반 개인 과태료 인상 검토"" (2021.08.20/5MBC뉴스)",,JTBC News
"믿으라던 정부 통계, 표본수 늘렸더니 집값 '껑충' / YTN",,JTBC News
"1628명 확진…정부 ""루마니아 백신 기부, 사실 아냐"" / JTBC News",,SBS 뉴스
"탈레반 '사면령' 발표...""여성도 새 정부 합류하라"" / YTN",,SBS 뉴스
"1628명 확진…정부 ""루마니아 백신 기부, 사실 아냐"" / JTBC News",,MBCNEWS
정부 경고 비웃듯 '설설' 끓는 아파트값...수도권 상승률 역대 최고 / YTN,,MBCNEWS
"전국 52개 대학, 내년부터 정부 재정지원서 '탈락' / JTBC 아침&",,YTN news
(설민석 강의) 대한민국 국민이라면 꼭 알아야 할 임시정부 수립의 의미! #어쩌다어른2019,,YTN news
"대한민국 임시정부, 왜 상하이에 세웠을까? | 설민석 한국사 강사 [어쩌다어른]",,JTBC News
[뉴스큐] 정부 '거리두기 조정안' 발표...'위드 코로나' 9월 말·10월 검토 / YTN,,JTBC News
"한미, 아프간 대책 조율...과도정부 구성 등 예의주시 / YTN",,YTN news
'탈레반 정부' 인정 놓고 갈라진 세계…중·러 vs 미·영·프 / 연합뉴스TV (YonhapnewsTV),,YTN news
"틈만 나면 정부 물어뜯는 의사들, 의협이 의협했다 (feat. 의협 전문가 나와!) [코로나특보/최강썰전]",,JTBC News
"탈레반, 전국에 '사면령' 발표…""새 정부에 합류하라"" / 연합뉴스TV (YonhapnewsTV)",,JTBC News
"""백운규 배임교사 '불기소'해야…정부 이익본 것 없어"" (2021.08.18/뉴스데스크/MBC)",,YTN news
아프간 정부 '탈레반'에 사실상 항복…탈출 인파 몰려 (2021.08.15/뉴스데스크/MBC),,YTN news
"아프간 정부 항복 선언…탈레반, 20년 만에 재집권 / JTBC 아침& 세계",,JTBC News
아프간 정부 사실상 항복...탈레반 아프간 행정 접수 선언 / YTN,,JTBC News
아프간 정부 사실상 항복...탈레반 아프간 행정 접수 선언 / YTN,,tvN
"""거리두기 완화 천천히""…정부, 이르면 9월 말 '위드 코로나' 검토 [MBN 뉴스와이드 주말]",,tvN
"정부, 주 아프간 대사관 잠정 폐쇄…재외국민 1명 아직 잔류 / KBS 2021.08.16.",,tvN
"탈레반, 대통령궁도 장악...""개방적 정부 구성할 것"" / YTN",,tvN
"믿으라던 정부 통계, 표본수 늘렸더니 집값 '껑충' / YTN",,YTN news
"“정부, ‘접종 혜택’ 확대해야…세금 감면도 고려 필요” / KBS 2021.08.20.",,YTN news
"아프간 정부, 탈레반에 정권 이양…사실상 항복 / KBS 2021.08.15.",,YTN news
"전 국민 백신 맞아도 확산세 못 꺾는다…정부 ""다시 검토"" / JTBC 뉴스룸",,YTN news
"""이틀 걸려 탑승"" 탈출 행렬…탈레반 ""새 정부 곧 공개"" / SBS",,연합뉴스TV
아프간 정부 사실상 항복...탈레반 아프간 행정 접수 선언 / YTN,,연합뉴스TV
"정부, 아프간 대사관 폐쇄...文 대통령 ""마지막 한 명까지 교민 안전철수"" / YTN",,TBS 시민의방송
"8일 만에 다시 2천 명대…정부, 내일 거리두기 발표 / SBS",,TBS 시민의방송
"시민단체 ""韓 도운 아프간 현지인들...정부가 보호책 마련해야"" / YTN",,연합뉴스TV
김포공항 '북적'…정부 캠페인도 막지 못한 '국민 이동' / JTBC 뉴스룸,,연합뉴스TV
"[더뉴스] 정부 ""거리두기 20일 발표""...추가 방역 조치 나올까? / YTN",,MBCNEWS
'탈레반 나라' 된 아프간…정부 항복·대통령 국외 도피,,MBCNEWS
"탈레반 '2인자' 카불 입성…""몇주내 새정부 틀 공개"" / 연합뉴스TV (YonhapnewsTV)",,MBCNEWS
"직격탄 맞고 생사 갈리는 자영업…""정부가 보상해야"" / SBS",,MBCNEWS
"정부 ""방역수칙 위반 개인 과태료 인상 검토"" (2021.08.20/5MBC뉴스)",,JTBC News
"'가늘고 길게' 방역기조 바뀌나…정부 ""위드 코로나 9월말 검토"" [뉴스 9]",,JTBC News
"탈레반, 대통령궁도 장악...""개방적 정부 구성할 것"" / YTN",,YTN news
"[영끌 인터뷰] ""아프간 정부 부정부패 심각…시민들 탈출 시도로 이어져"" / JTBC 썰전라이브",,YTN news
"정부, 은행 통해 가상화폐거래소 규제...중소 거래소 폐업 위기 / YTN",,YTN news
"정부 ""내수 불확실성 지속""…소비 지표 양호 (2021.08.20/12MBC뉴스)",,YTN news
"접종자 포함 4명 모임 허용…정부 ""자영업자 어려움 감안"" / JTBC 뉴스룸",,MBN News
4단계 ‘무력’…정부의 남은 카드는 “집에 있어달라” | 뉴스A,,MBN News
(설민석 강의) 대한민국 국민이라면 꼭 알아야 할 임시정부 수립의 의미! #어쩌다어른2019,,KBS News
정부지원 800원짜리 보험에 가입하고 혜택 받으세요! (원금환급!!) 5가지 정부지원 보험!,,KBS News
보조금24 국가 정부지원 보조금 받는 방법!,,YTN news
"상해 임시정부의 실체(국제 공산당 자금 사건, 자유시 참변, 공산주의자 이동휘) !_김용삼 기자의 왜곡된 근현대사 바로 알기 14: 정동수 목사, 사랑침례교회",,YTN news
오늘부터 모집! 2가지 정부직접일자리! 나이제한 없어요~ 모집 시작합니다!,,YTN news
"역덕이슈 오늘 I 58 대한민국 임시정부, 대한민국의 근간이 되다.",,YTN news
"대한민국, 제1회 OECD 디지털정부평가 종합 1위 결과 브리핑",,KBS News
"대한민국 임시정부, 왜 상하이에 세웠을까? | 설민석 한국사 강사 [어쩌다어른]",,KBS News
2021 정부연구개발사업 온라인 부처합동설명회 1일차,,KBS News
영상한국사 I 83 임시정부의 대통령 이승만 탄핵,,KBS News
제102주년 대한민국임시정부 수립 기념식-[끝까지 LIVE] MBC 중계 2021년 04월 11일,,JTBC News
추적2019 김한솔 망명정부···김한솔 왜 피신 시켰나,,JTBC News
"정부 ""이르면 이번 달 추석 민생안정대책 발표할 것"" / YTN",,SBS 뉴스
[다시보기] 대한민국 임시정부 수립 100주년 기념식 (2019.4.11.),,SBS 뉴스
"전광훈 단체 광복절 행사 강행 곳곳 충돌...정부 ""무관용 원칙"" 경고 / YTN",,YTN news
'24전 24패?' 문재인 정부 부동산 정책 여기 다 모았다!!??ㅣ부린이 탈출 필독 바이블 언더독 정책 1편 ??,,YTN news
"미쓰비시 거래대금 압류…일본 정부 ""한·일관계 심각해질 것"" 반발 / JTBC 뉴스룸",,YTN news
다양한 정부혜택! 알아서 찾아주는 보조금24 | 오늘정책,,YTN news
갈등 빚다 화해 손짓…달라지는 문 정부의 대일 외교 [포커스],,SBS 뉴스
"정부 ""코로나19 4차 대유행으로 내수 불확실성 지속"" / YTN 사이언스",,SBS 뉴스
[공무원 한국사] 빈출유형! 대한민국 임시정부 특강 - 해커스 맵핑 이중석,,YTN news
올해가 마지막이니까 지금 꼭 신청하세요! 정부지원 자산형성 통장 5종!,,YTN news
"강하늘, 온유, 고은성, 제100주년 임시정부수립 기념공연 ""대한민국 임시정부의 꿈""",,JTBC News
[LIVE] 제 102주년 대한민국임시정부 수립 기념식,,JTBC News
"모든 정부지원 개발과제를, 한번에 알아보는 방법",,YTN news
"정부, 화이자 백신 2천만명분 추가 확보 - [끝까지 LIVE] 2021년 04월 24일",,YTN news
2021년 정부지원 저금리 대출! 받는 방법 알려드립니다!!,,뉴스TVCHOSUN
[뉴스룸 한눈에] 대한민국 임시정부 수립 100년…독립 투쟁 발자취,,뉴스TVCHOSUN
대한민국 임시정부 수립 기념일이 바뀌게 된 이유와 임시정부의 활동 [교육부 서포터즈],,연합뉴스TV
"경실련 ""전세가 4~5년 계속 오를것""...문 정부 부동산정책 가짜",,연합뉴스TV
[#광복절] 대한민국 정부 수립(10min),,SBS 뉴스
"""백운규 배임교사 '불기소'해야…정부 이익본 것 없어"" (2021.08.19/뉴스투데이/MBC)",,SBS 뉴스
"정부 ""루마니아 백신 무상공여 아냐…스와프 협의 중"" / 연합뉴스TV (YonhapnewsTV)",,MBCNEWS
[코로나19 국제뉴스] 정부 규탄·봉쇄 반대…거세지는 코로나 시위 / KBS 2021.08.16.,,MBCNEWS
35-3 대한민국 임시 정부의 활동  / 35강 일제 강점기(1910년대 저항) ｜한국사능력검정시험 심화,,뉴스TVCHOSUN
문재인 정부 마지막 총리에 김부겸…변창흠 교체 등 5명 개각,,뉴스TVCHOSUN
"中 정부 '알리바바'에 3조 과징금…""복종하겠다"" (2021.04.10/뉴스데스크/MBC)",,YTN news
"[이성대의 뉴스썰기] 최재형 ""국민의 삶 정부가 왜 책임지나""…발언 논란 / JTBC 썰전라이브",,YTN news
[Full] 한국기행 - 아웃도어 인생 - 제1부 천천히 가면 볼 수 있지 20170612,,EBSDocumentary (EBS 다큐)
"아웃도어 브랜드 순위, 등산/트레킹 브랜드 순위 │노스페이스│디스커버리│K2│내셔널지오그래픽│네파│블랙야크│코오롱스포츠│아이더│컬럼비아│케이투│등산브랜드추천│등산화추천│등산복추천",,EBSDocumentary (EBS 다큐)
기아 카니발로 이제 진짜 캠핑할 수 있어요. 그냥 침대를 만들었어!,,"아웃도어큐레이터-등산,트레킹"
2022 연식변경 기아 카니발 아웃도어 가솔린 3.5 시승기 - 순정으로 즐기는 차박 전용 모델의 등장! 7인승 차박용 차량을 찾는다면 SUV 대신에?,,"아웃도어큐레이터-등산,트레킹"
22MY 4세대신형카니발 7인/9인 시트및 기능 살펴보기/아웃도어/아트원하이리무진/황제차박4인승 데모카,,모비티MOBiTi
"[오토 캠핑]2022 카니발 7인승 아웃도어로 차박 & 불멍, 에어 매트 체험 리뷰(2022 Carnival 3.5 Outdoor) - 2021.08.11",,모비티MOBiTi
2022 기아 카니발 최초공개! 드디어 신형 엠블럼에 차박까지 가능하다고???,,카티Carti
유튜브에서만 핫하지 않은 스타일,,카티Carti
Urban Outdoor Make Up-건강한 혈색이 돋보이는 어반 아웃도어 메이크업,,ARTONE24 아트원24
"2022 카니발 7인승 노블레스 아웃도어 가솔린 3.5GDi 7인승 시승기, 2022 KIA Sedona 3.5GDi 7seat test drive, review",,ARTONE24 아트원24
[Full] 한국기행 - 아웃도어 인생 - 제3부 그들이 사는 법 20170614,,한상기 오토프레스 Han Sang Ki
BEST 5 야외 비상 응급 상황 아이디어 아웃도어 용품 알리익스프레스 Emergency Gadgets Aliexpress,,한상기 오토프레스 Han Sang Ki
"하늘이 숨겨둔 땅, 높고 외로운 절벽 위에서 3년을 보낸 스님의 마지막 하룻밤",,비피디 BPD
BMW X7 출고했습니다!! 대형 SUV는 좋은 말로 할 때 이거 사세요^^,,비피디 BPD
"다이소 캠핑용품 이런방법은 몰랐지?/캠퍼가 찾아낸 감성꿀템/캠핑소품 총 28,000원/camping",,HOW ABOUT OOTD
폭풍우+뇌우치는 산정상에서 텐트폴대를 두고 온 사실을 알았을 때 /솔로우중캠핑 / 직접 만든 옛날도시락(핑크소세지&볶은김치) / 호카 등산화,,HOW ABOUT OOTD
[뉴스터치] '애슬레저룩'에 밀린 아웃도어 업계 (2020.10.05/뉴스투데이/MBC),,JUNGSAEMMOOL
텐트없이 백패킹을 가보았다 ....? / 솔로캠핑 / 백패킹 / 아웃도어 / 부쉬크래프트,,JUNGSAEMMOOL
한국기행 - Korea travel_아웃도어 인생 3부 그들이 사는 법_#001,,주니tv
[Eng] 고어텍스에 대해 모든걸 다 알려드림! 아웃도어인들 드루와~ | Do you know about GORE-TEX?  | GORE-TEX HQ Trip  |,,주니tv
2022 카니발 아웃도어 트림 살펴 보기. 에어 매트 괜찮네.,,EBSDocumentary (EBS 다큐)
한국기행 - Korea travel_아웃도어 인생 2부 오늘은 어디를 고칠까_#001,,EBSDocumentary (EBS 다큐)
한국기행 - Korea travel_아웃도어 인생 5부- 그래도 사랑_#001,,알리 탐색기& BEST Express
E27 기발한 아웃도어 용품 가성비 베스트 10 꿀템 하울 리뷰 (Aliexpress Top 10 Best Outdoor Gadgets Haul Review),,알리 탐색기& BEST Express
"일본의 기능성 좋은 아웃도어 브랜드를 넘어서, 브랜드 '나나미카'의 5가지 이야기. [캠키피디아]",,EBS 컬렉션 - 라이프스타일
기아 신형 카니발 가솔린 3.5 7인승 아웃도어 급가속(2022 Kia Carnival 3.5 V6 Acceleration) - 2021.08.12 4K,,EBS 컬렉션 - 라이프스타일
아웃도어의 모든것 | Outdoor World 투어 [흥부부 브이로그 Vlog],,비피디 BPD
"별장 vlog: 별장 꾸미기,바베큐파티,바베큐 vlog,정원 꾸미기,아웃도어 가구",,비피디 BPD
"[아웃도어 & 서바이벌]  2부 ""조난시 버티는 팁과 은박담요를 활용한 생존쉘터 만드는 법""",,주들 Joodeul
프랑스 명품 나이프 오피넬 의 아웃도어버전 Opinel NO8 OUTDOOR,,주들 Joodeul
(MV003) 신형카니발 2022년형 7인승 아웃도어 트림 부러우신가요? 무려 195cm 너무 깔끔한 차박 공간을 만들어버리기,,Rirang OnAir
한국기행 - Korea travel_아웃도어 인생 5부- 그래도 사랑_#002,,Rirang OnAir
[S모티브] 세금걱정 없는 2층 캠핑카! 하드탑 아웃도어 팝업 캠핑카! 개소세 0원 교육세 0원,,MBCNEWS
2021 아웃도어 페스타 장승포 행사장 ♡ 장승포 소망길 ♡ 삼삼해물 수산물유통센터,,MBCNEWS
"백패킹 장비의 성지?????♂? 종로 5가 아웃도어거리 ?? | 백패킹 장비 | 마이기어, 에이스아웃도어",,Rirang OnAir
"캠핑·아웃도어 관련주, 코로나19 반사이익 받았다! / 기자대담 / 매일경제TV",,Rirang OnAir
한국기행 - Korea travel_아웃도어 인생 4부 지금 이 순간 취하는 법_#002,,EBSDocumentary (EBS 다큐)
[취업견문록 잡아라 170회]   아웃도어 신발의 새길을 걷다! 기능성 신발 전문 기업 도전기,,EBSDocumentary (EBS 다큐)
한국기행 - Korea travel_아웃도어 인생 1부 천천히 가면 볼 수 있지_#002,,엄지 Thumb K
"스키복, 보드복, 낚시복, 등산복 아웃도어의류 쉬워도 너무 쉬운 발수가공 발수코팅",,엄지 Thumb K
가성 비 아웃 도어 서바이벌 이미지 ~~~,,김이사의 딥다이브
아웃도어 민폐 3대장 특집,,김이사의 딥다이브
"(ENG)야외활동의 필수품 스탠리 워터저그, 아웃도어쿨러(feat.몬타나) STANLEY WATER JUG, OUTDOOR COOLER (feat.montana)",,EBSDocumentary (EBS 다큐)
"백패킹,캠핑,아웃도어 전문점 시에라광명점 확장오픈!!",,EBSDocumentary (EBS 다큐)
